GF.ITS.VL31	GF.ITS.VL32	GF.ITS.VL33	GF.ITS.VL34	GF.ITS.VL35	GF.ITS.VL36	GF.ITS.VL37	GF.ITS.VL38	GF.ITS.VL39	GF.ITS.VL40	GF.ITS.VL41	GF.ITS.VL42	GF.ITS.VL43	GF.ITS.VL44	GF.ITS.VL45	GF.ITS.VL46	GF.ITS.VL47	GF.ITS.VL48	GF.ITS.VL49	GF.ITS.VL50	GF.ITS.VL51	GF.ITS.VL52	GF.ITS.VL53	GF.ITS.VL54	GF.ITS.VL56	GF.ITS.VL57	GF.ITS.VL58	GF.ITS.VL59	GF.ITS.VL60
f__Pleosporaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0
o__Tremellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00390909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Naganishia	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_3	0	0	0	0	0	0	0	0	0	0	0.00109090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Sclerotiniaceae	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0
g__Stemphylium	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000727272727272727	0	0
g__Candida	0	0	0.000454545454545455	0	0	0.00481818181818182	0.000181818181818182	0	9.09090909090909e-05	0	0	0	0	0.00163636363636364	0	0	0	0	0	0	0.000272727272727273	0	0.000363636363636364	0	0	9.09090909090909e-05	0.00154545454545455	9.09090909090909e-05	0
k__Fungi_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_4	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cladosporium	0.132818181818182	0.0595454545454545	0.0385454545454545	0.0259090909090909	0.0187272727272727	0.0380909090909091	0.0249090909090909	0.0471818181818182	0.104181818181818	0.0207272727272727	0.0245454545454545	0.00709090909090909	0.0111818181818182	0.0179090909090909	0.0137272727272727	0.0240909090909091	0.00763636363636364	0.0118181818181818	0.0178181818181818	0.0179090909090909	0.00190909090909091	0.0134545454545455	0.00609090909090909	0.00872727272727273	0.017	0.00109090909090909	0.00490909090909091	0.00236363636363636	0.00545454545454545
f__Amphisphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0
k__unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145454545454545	0	0	0	0	0	0	0	0	0	0	0
k__Fungi_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000909090909090909	0	0	0	0
o__Erythrobasidiales	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000545454545454545	0	0
o__Helotiales_1	0	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_4	0	0	0	0.00281818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Diplodia_1	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000545454545454545	0	0	0	0
g__Buckleyzyma_5	0.000272727272727273	0	0	0.000363636363636364	0	0	0	0.000181818181818182	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Diplodia_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0.000272727272727273	0	0	0	0	9.09090909090909e-05	0	0	0	0	0
g__Vishniacozyma_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0
g__Debaryomyces	0	0.00154545454545455	0.0406363636363636	0.00572727272727273	0.001	0.00572727272727273	0.01	0.0235454545454545	0.00272727272727273	0.000818181818181818	0	0.00245454545454545	0.00254545454545455	0.0176363636363636	0.00109090909090909	0.00263636363636364	0.00118181818181818	0.00190909090909091	0	0	0.000363636363636364	0.000636363636363636	0.00109090909090909	0	0.00227272727272727	0	0.00327272727272727	0	0.00118181818181818
g__Vishniacozyma_2	0	0	0	0.000636363636363636	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236363636363636	0	0	0	0	0	0	0	0.000181818181818182	0	0
f__Diatrypaceae	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Malasseziaceae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Akenomyces	0	0	0	0	0	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414454545454545	0.00272727272727273	0	0	0	0	0
g__Cystobasidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0
f__Malasseziaceae_3	0.00190909090909091	0	9.09090909090909e-05	0.000636363636363636	0	0	0.000272727272727273	0	0.000272727272727273	0	0.000545454545454545	0	0.000909090909090909	0	0.000545454545454545	9.09090909090909e-05	0.000363636363636364	0.00109090909090909	0	0.000363636363636364	0	9.09090909090909e-05	9.09090909090909e-05	0	0	9.09090909090909e-05	0.000545454545454545	0	0
o__Pleosporales_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00218181818181818	0	0	0	0
g__Neoerysiphe_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0
f__Herpotrichiellaceae	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pleosporaceae_2	0	0	0	0.00254545454545455	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00854545454545455	0	0	0	0	0	0	0	0
g__Acremonium_2	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria	0	0	0	0	0	0	0	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0.000636363636363636	0	0.00127272727272727	0	0	0	0	0	0	0	0
o__Pleosporales_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0
f__Kondoaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0
g__Pseudomicrostroma_1	0	0	0	0.001	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0
g__Alternaria_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_7	0.0329090909090909	0.0126363636363636	0.023	0.0372727272727273	0.029	0.0137272727272727	0.00145454545454545	0.00763636363636364	0.0203636363636364	0.00118181818181818	0.001	0.00281818181818182	0	0.00172727272727273	0	0.00136363636363636	0.00490909090909091	0.00263636363636364	0.000363636363636364	0.00318181818181818	0.000454545454545455	0.00127272727272727	0.00272727272727273	0.000818181818181818	0	0.000272727272727273	0.0102727272727273	9.09090909090909e-05	0.000181818181818182
p__Ascomycota_2	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Vishniacozyma_dimennae_1	0	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0.000545454545454545	0	0	0	0	0	0	0	0	0	0	0	0
s__Puccinia_coronata_1	0	0	0.000181818181818182	0	0	0	0.000363636363636364	0	0	0	0.000454545454545455	0	0	0	0	0	0	9.09090909090909e-05	0	0	0.000454545454545455	0	0	0	0.000272727272727273	0	0.000545454545454545	0	0
f__Pleosporaceae_4	0	0	0	0	0	0.00209090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Tremellales_1	0.00254545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stemphylium_1	0	0.000545454545454545	0	0	0	0.000909090909090909	0	0	0	0	0	0	0	0	0	0	0.000545454545454545	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0
c__Microbotryomycetes_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0
g__Sporobolomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0
f__Phaeosphaeriaceae_2	0.00163636363636364	0.000363636363636364	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Golovinomyces	0	0	0.000454545454545455	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000545454545454545	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0
o__Erythrobasidiales_1	0	0	0	0	0	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Pleosporales_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0
o__Pleosporales_9	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alternaria_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0
o__Pleosporales_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118181818181818	0	0	0	0
p__Ascomycota_3	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Vishniacozyma_3	0.00127272727272727	0	0.00490909090909091	0.00418181818181818	0.00154545454545455	0.001	0	0.00309090909090909	0	0	0	0	0	0	0	0.0280909090909091	0	0	0	0.0590909090909091	0.001	0.00254545454545455	0.00118181818181818	0.00136363636363636	0	0	0.00309090909090909	0	0
g__Phoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.330818181818182	0	0.000272727272727273	0	0.000272727272727273
s__Malassezia_globosa_3	0	0	0.001	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0
p__Ascomycota_4	0	0	0	0.000363636363636364	0.000272727272727273	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Vishniacozyma_dimennae_2	0	0	0	0	0.000545454545454545	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0
g__Kondoa_3	0	0	0	0	0.000909090909090909	0	0	0.000545454545454545	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272727272727273	0	0
g__Buckleyzyma_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000545454545454545	0	0	0	0	0
f__Pleosporaceae_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.000818181818181818	0	0	0	0	0	0	0	0	0
k__Fungi_7	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Phaemoniella_chlamydospora	0	0	0	0	0	0	0	0	0.00645454545454545	0	0.00154545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes_1	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Vishniacozyma_dimennae_3	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Nectriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000727272727272727	0	0	0	0	0	0	0	0	0	0	0	0
g__Papiliotrema_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0
f__Didymellaceae_1	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Neosetophoma_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0
